taxon	rank	direction	p	q	median_case	median_control	mean_log1p_case	mean_log1p_control	prevalence_case	prevalence_control	rank_biserial	in_bugsigdb	bugsigdb_direction
pw3	genus	increased	0.0	0.0	0.000753	0.0	0.002662	0.0	0.571429	0.0	0.571429	False	
intestinimonas	genus	decreased	0.0	0.0	0.0	0.018019	0.0	0.025481	0.0	0.864	-0.864	False	
bulleidia moorei	species	increased	0.0	0.0	0.000634	0.0	0.002138	0.0	0.561224	0.0	0.561224	False	
negativibacillus	genus	decreased	0.0	0.0	0.0	0.050035	0.0	0.086642	0.0	0.86	-0.86	False	
fusibacter	genus	increased	0.0	0.0	0.007224	0.0	0.019977	0.001355	0.897959	0.152	0.760653	False	
phlomobacter	genus	increased	0.0	0.0	0.000621	0.0	0.003672	0.0	0.561224	0.0	0.561224	False	
fibrobacter	genus	decreased	0.0	0.0	0.0	0.044771	0.0	0.052382	0.0	0.844	-0.844	False	
tyzzerella	genus	decreased	0.0	0.0	0.0	0.028934	0.0	0.062867	0.0	0.84	-0.84	True	increased
actinobacillus parahaemolyticus	species	increased	0.0	0.0	0.000554	0.0	0.006823	0.0	0.540816	0.0	0.540816	False	
eggerthella lenta	species	increased	0.0	0.0	0.000713	0.0	0.00355	1.7e-05	0.55102	0.004	0.545878	True	increased
erysipelatoclostridium	genus	decreased	0.0	0.0	0.0	0.035671	0.0	0.052515	0.0	0.832	-0.832	False	
parasutterella	genus	decreased	0.0	0.0	0.0	0.089896	0.0	0.183454	0.0	0.828	-0.828	False	
alloprevotella	genus	decreased	0.0	0.0	0.0	0.021507	0.0	0.120614	0.0	0.82	-0.82	False	
ruminococcus	species	decreased	0.0	0.0	0.0	0.032332	0.0	0.047006	0.0	0.816	-0.816	True	decreased
granulicatella	genus	increased	0.0	0.0	0.001883	0.0	0.005738	0.00078	0.806122	0.096	0.680163	False	
megamonas hypermegale	species	increased	0.0	0.0	0.000434	0.0	0.028102	0.0	0.510204	0.0	0.510204	False	
paraprevotella	genus	increased	0.0	0.0	1.026082	0.018928	0.668769	0.143688	1.0	0.708	0.825469	False	
desulfovibrio vulgaris	species	increased	0.0	0.0	0.000194	0.0	0.001067	0.0	0.5	0.0	0.5	False	
enterobacter cloacae	species	increased	0.0	0.0	0.00017	0.0	0.001856	0.0	0.5	0.0	0.5	False	
paenibacillus	genus	increased	0.0	0.0	0.001169	0.0	0.004637	0.000753	0.77551	0.088	0.642939	False	
nelumbo nucifera	species	increased	0.0	0.0	0.0	0.0	0.000604	0.0	0.479592	0.0	0.479592	False	
trabulsiella farmeri	species	increased	0.0	0.0	0.0	0.0	0.003656	0.0	0.479592	0.0	0.479592	False	
paludibacter	genus	increased	0.0	0.0	0.024301	0.0	0.050901	0.004779	1.0	0.356	0.766776	False	
cronobacter	genus	increased	0.0	0.0	0.0	0.0	0.002153	0.0	0.479592	0.0	0.479592	False	
nelumbo	genus	increased	0.0	0.0	0.0	0.0	0.000604	0.0	0.479592	0.0	0.479592	False	
clostridium ruminantium	species	increased	0.0	0.0	0.0	0.0	0.001325	0.0	0.469388	0.0	0.469388	False	
